,TimeStamp,30 Температура масла в магистрали общей откачки (поз. Тм),31 Температура слива масла из опоры турбины (поз. Т606),32 Температура масла на входе в двигатель за фильтром (поз. Т607),33 Температура топливного газа перед СК (перед расходомерным устройством) (поз. Ттг),34 Давление масла в нагнетающей магистрали двигателя (после фильтра) (поз. Pм),35 Давление масла в магистрали общей откачки (поз. Р615),36 Давление за ОК Pk1,37 Давление за ОК Pk2,38 Давление топливного газа перед дозаторами (поз. Pтг1.1),39 Вибрация промежуточного корпуса газогенератора (гориз.) (поз. В1),40 Вибрация корпуса силовой турбины (гориз.) (поз. В2),"41 Положение дозатора газа 8402 (или ДУС-6,5 МП) ( поз. А ДГ)",42 Контроль управления дозатором газа ДГ ,43 Частота вращения РНД (Расчетная),44 Частота вращения РВД (Расчетная),45 Частота вращения РСТ (Расчетная),46 Температура воздуха на входе в газогенератор (Расчетная),47 Давление воздуха за компрессором (Расчетная),48 Частота вращения РНД приведенная,49 Частота вращения РВД приведенная,50 Температура газов за ТНД максимальная (Расчетная),51 Положение лопаток НА КВД. (поз. A2),52 Положение КПВ (поз. A3)
2428,48574,28.279,33.725,38.764,12.53,282.771,153.145,166.337,166.96,2912.759,2.305,2.086,10.808,10.873,3472.725,8730.179,1214.007,-23.11,166.649,3727.028,9369.478,378.357,7.681,7.102
2429,48595,28.279,33.731,38.764,12.53,282.771,153.145,167.342,164.488,2967.047,2.31,2.081,10.808,10.869,3472.725,8730.179,1214.007,-23.11,166.649,3727.022,9369.464,378.358,7.603,7.1
2430,48615,28.279,33.734,38.764,12.53,282.771,153.145,167.342,164.488,2994.191,2.31,2.081,10.808,10.869,3471.972,8730.014,1214.027,-23.11,165.915,3727.02,9369.458,378.392,7.603,7.1
2431,48635,28.279,33.736,38.764,12.53,282.771,153.145,167.342,164.488,3007.763,2.31,2.081,10.808,10.869,3471.972,8730.014,1214.027,-23.11,165.915,3726.21,9369.276,378.409,7.603,7.1
2432,48652,28.292,33.736,38.79,12.53,282.824,153.538,167.342,164.488,3014.549,2.31,2.081,10.808,10.869,3471.972,8730.014,1214.027,-23.109,165.915,3726.21,9369.275,378.417,7.603,7.1
2433,48675,28.292,33.737,38.79,12.53,282.824,153.538,167.342,164.488,3017.941,2.31,2.081,10.808,10.869,3471.972,8730.014,1214.027,-23.109,165.915,3726.209,9369.274,378.421,7.603,7.1
2434,48695,28.292,33.74,38.79,12.53,282.824,153.538,163.091,166.806,3022.297,2.319,2.081,10.808,10.916,3471.972,8730.014,1214.027,-23.109,165.915,3726.209,9369.274,378.423,7.517,7.125
2435,48715,28.292,33.742,38.79,12.53,282.824,153.538,163.091,166.806,3024.475,2.319,2.081,10.808,10.916,3472.813,8730.521,1214.032,-23.104,164.948,3726.209,9369.273,378.45,7.517,7.125
2436,48735,28.292,33.743,38.79,12.53,282.824,153.538,163.091,166.806,3025.563,2.319,2.081,10.808,10.916,3472.813,8730.521,1214.032,-23.101,164.948,3727.068,9369.709,378.463,7.517,7.125
2437,48753,28.299,33.743,38.802,12.53,282.813,154.893,163.091,166.806,3026.108,2.319,2.081,10.808,10.916,3472.813,8730.521,1214.032,-23.099,164.948,3727.046,9369.654,378.469,7.517,7.125
2438,48775,28.299,33.743,38.802,12.53,282.813,154.893,163.091,166.806,3026.38,2.319,2.081,10.808,10.916,3472.813,8730.521,1214.032,-23.099,164.948,3727.035,9369.627,378.472,7.517,7.125
2439,48793,28.299,33.762,38.802,12.53,282.813,154.893,165.023,167.424,3021.693,2.324,2.084,10.805,10.866,3472.813,8730.521,1214.032,-23.098,164.948,3727.03,9369.613,378.474,7.653,7.122
2440,48815,28.299,33.772,38.802,12.53,282.813,154.893,165.023,167.424,3019.35,2.324,2.084,10.805,10.866,3471.82,8730.179,1214.044,-23.092,166.223,3727.027,9369.607,378.475,7.653,7.122
2441,48835,28.326,33.777,38.809,12.53,282.798,156.313,165.023,167.424,3018.178,2.324,2.084,10.805,10.866,3471.82,8730.179,1214.044,-23.089,166.223,3725.917,9369.127,378.475,7.653,7.122
2442,48853,28.326,33.779,38.809,12.53,282.798,156.313,165.023,167.424,3017.592,2.324,2.084,10.805,10.866,3471.82,8730.179,1214.044,-23.088,166.223,3725.894,9369.07,378.475,7.653,7.122
2443,48874,28.326,33.78,38.809,12.53,282.798,156.313,165.023,167.424,3017.299,2.324,2.084,10.805,10.866,3471.82,8730.179,1214.044,-23.087,166.223,3725.883,9369.042,378.476,7.653,7.122
2444,48894,28.326,33.793,38.809,12.53,282.798,156.313,165.95,163.638,3028.593,2.331,2.084,10.808,10.839,3471.82,8730.179,1214.044,-23.087,166.223,3725.878,9369.029,378.476,7.664,7.077
2445,48915,28.326,33.8,38.809,12.53,282.798,156.313,165.95,163.638,3034.239,2.331,2.084,10.808,10.839,3474.254,8730.987,1214.069,-23.086,164.794,3725.875,9369.021,378.476,7.664,7.077
2446,48935,28.326,33.803,38.809,12.53,282.798,156.313,165.95,163.638,3037.063,2.331,2.084,10.808,10.839,3474.254,8730.987,1214.069,-23.086,164.794,3728.487,9369.887,378.476,7.664,7.077
2447,48952,28.34,33.805,38.812,12.53,282.773,156.735,165.95,163.638,3038.475,2.331,2.084,10.808,10.839,3474.254,8730.987,1214.069,-23.086,164.794,3728.486,9369.884,378.476,7.664,7.077
2448,48973,28.34,33.806,38.812,12.53,282.773,156.735,165.95,163.638,3039.18,2.331,2.084,10.808,10.839,3474.254,8730.987,1214.069,-23.086,164.794,3728.485,9369.883,378.476,7.664,7.077
2449,48995,28.34,33.806,38.812,12.53,282.773,156.735,165.95,163.638,3039.533,2.331,2.084,10.808,10.839,3474.254,8730.987,1214.069,-23.086,164.794,3728.485,9369.883,378.476,7.664,7.077
2450,49015,28.34,33.819,38.812,12.53,282.773,156.735,166.491,167.424,3051.212,2.333,2.079,10.808,10.839,3474.254,8730.987,1214.069,-23.086,164.794,3728.485,9369.882,378.476,7.709,6.991
2451,49035,28.34,33.825,38.812,12.53,282.773,156.735,166.491,167.424,3057.051,2.333,2.079,10.808,10.839,3473.097,8731.754,1214.128,-23.08,166.958,3728.485,9369.882,378.476,7.709,6.991
2452,49052,28.346,33.828,38.825,12.53,282.695,156.028,166.491,167.424,3059.971,2.333,2.079,10.808,10.839,3473.097,8731.754,1214.128,-23.077,166.958,3727.2,9370.597,378.476,7.709,6.991
2453,49073,28.346,33.83,38.825,12.53,282.695,156.028,166.491,167.424,3061.431,2.333,2.079,10.808,10.839,3473.097,8731.754,1214.128,-23.076,166.958,3727.178,9370.541,378.476,7.709,6.991
2454,49095,28.346,33.831,38.825,12.53,282.695,156.028,166.491,167.424,3062.161,2.333,2.079,10.808,10.839,3473.097,8731.754,1214.128,-23.075,166.958,3727.167,9370.515,378.476,7.709,6.991
2455,49114,28.346,33.844,38.825,12.53,282.695,156.028,166.26,165.492,3061.412,2.329,2.081,10.808,10.832,3473.097,8731.754,1214.128,-23.075,166.958,3727.162,9370.501,378.476,7.631,7.175
2456,49135,28.346,33.85,38.825,12.53,282.695,156.028,166.26,165.492,3061.038,2.329,2.081,10.808,10.832,3474.82,8731.585,1214.196,-23.075,165.876,3727.159,9370.494,378.492,7.631,7.175
2457,49154,28.35,33.853,38.832,12.53,282.656,155.675,166.26,165.492,3060.851,2.329,2.081,10.808,10.832,3474.82,8731.585,1214.196,-23.075,165.876,3729.006,9370.309,378.501,7.631,7.175
2458,49173,28.35,33.855,38.832,12.53,282.656,155.675,166.26,165.492,3060.758,2.329,2.081,10.808,10.832,3474.82,8731.585,1214.196,-23.075,165.876,3729.006,9370.308,378.505,7.631,7.175
2459,49194,28.35,33.856,38.832,12.53,282.656,155.675,166.26,165.492,3060.711,2.329,2.081,10.808,10.832,3474.82,8731.585,1214.196,-23.075,165.876,3729.006,9370.307,378.507,7.631,7.175
2460,49215,28.35,33.859,38.832,12.53,282.656,155.675,165.564,167.115,3031.005,2.329,2.084,10.808,10.829,3474.82,8731.585,1214.196,-23.075,165.876,3729.005,9370.306,378.508,7.6,7.019
2461,49235,28.35,33.861,38.832,12.53,282.656,155.675,165.564,167.115,3016.152,2.329,2.084,10.808,10.829,3474.106,8732.078,1214.238,-23.069,166.339,3729.005,9370.306,378.534,7.6,7.019
2462,49255,28.398,33.862,38.836,12.53,282.599,155.461,165.564,167.115,3008.725,2.329,2.084,10.808,10.829,3474.106,8732.078,1214.238,-23.066,166.339,3728.195,9370.726,378.547,7.6,7.019
2463,49274,28.398,33.862,38.836,12.53,282.599,155.461,165.564,167.115,3005.012,2.329,2.084,10.808,10.829,3474.106,8732.078,1214.238,-23.064,166.339,3728.174,9370.672,378.554,7.6,7.019
2464,49295,28.398,33.863,38.836,12.53,282.599,155.461,165.564,167.115,3003.155,2.329,2.084,10.808,10.829,3474.106,8732.078,1214.238,-23.064,166.339,3728.163,9370.645,378.557,7.6,7.019
2465,49314,28.398,33.875,38.836,12.53,282.599,155.461,166.569,164.797,3032.095,2.34,2.091,10.808,10.832,3474.106,8732.078,1214.238,-23.063,166.339,3728.157,9370.631,378.558,7.578,6.994
2466,49333,28.398,33.882,38.836,12.53,282.599,155.461,166.569,164.797,3046.565,2.34,2.091,10.808,10.832,3475.396,8732.299,1214.275,-23.063,165.683,3728.155,9370.624,378.643,7.578,6.994
2467,49354,28.423,33.885,38.837,12.53,282.571,155.79,166.569,164.797,3053.8,2.34,2.091,10.808,10.832,3475.396,8732.299,1214.275,-23.063,165.683,3729.538,9370.857,378.685,7.578,6.994
2468,49372,28.423,33.886,38.837,12.53,282.571,155.79,166.569,164.797,3057.418,2.34,2.091,10.808,10.832,3475.396,8732.299,1214.275,-23.063,165.683,3729.537,9370.855,378.706,7.578,6.994
2469,49395,28.423,33.887,38.837,12.53,282.571,155.79,166.569,164.797,3059.227,2.34,2.091,10.808,10.832,3475.396,8732.299,1214.275,-23.063,165.683,3729.537,9370.854,378.717,7.578,6.994
2470,49415,28.423,33.9,38.837,12.53,282.571,155.79,164.714,163.793,3055.307,2.343,2.091,10.805,10.839,3475.396,8732.299,1214.275,-23.063,165.683,3729.537,9370.854,378.722,7.467,6.941
2471,49435,28.423,33.907,38.837,12.53,282.571,155.79,164.714,163.793,3053.348,2.343,2.091,10.805,10.839,3473.572,8733.104,1214.327,-23.063,164.253,3729.537,9370.854,378.725,7.467,6.941
2472,49454,28.435,33.91,38.85,12.53,282.575,155.797,164.714,163.793,3052.368,2.343,2.091,10.805,10.839,3473.572,8733.104,1214.327,-23.063,164.253,3727.58,9371.719,378.726,7.467,6.941
2473,49473,28.435,33.911,38.85,12.53,282.575,155.797,164.714,163.793,3051.878,2.343,2.091,10.805,10.839,3473.572,8733.104,1214.327,-23.063,164.253,3727.58,9371.719,378.727,7.467,6.941
2474,49494,28.435,33.912,38.85,12.53,282.575,155.797,164.714,163.793,3051.633,2.343,2.091,10.805,10.839,3473.572,8733.104,1214.327,-23.063,164.253,3727.58,9371.719,378.727,7.467,6.941
2475,49515,28.435,33.928,38.85,12.53,282.575,155.797,166.337,166.574,2988.497,2.352,2.088,10.805,10.835,3473.572,8733.104,1214.327,-23.063,164.253,3727.58,9371.719,378.727,7.57,7.049
2476,49535,28.464,33.936,38.856,12.506,282.578,154.993,166.337,166.574,2956.928,2.352,2.088,10.805,10.835,3474.812,8732.779,1214.389,-23.063,166.455,3727.58,9371.719,378.728,7.57,7.049
2477,49555,28.464,33.94,38.856,12.506,282.578,154.993,166.337,166.574,2941.144,2.352,2.088,10.805,10.835,3474.812,8732.779,1214.389,-23.063,166.455,3728.91,9371.37,378.728,7.57,7.049
2478,49573,28.464,33.942,38.856,12.506,282.578,154.993,166.337,166.574,2933.252,2.352,2.088,10.805,10.835,3474.812,8732.779,1214.389,-23.063,166.455,3728.91,9371.37,378.728,7.57,7.049
2479,49594,28.464,33.943,38.856,12.506,282.578,154.993,166.337,166.574,2929.306,2.352,2.088,10.805,10.835,3474.812,8732.779,1214.389,-23.063,166.455,3728.91,9371.37,378.728,7.57,7.049
2480,49615,28.464,33.953,38.856,12.506,282.578,154.993,162.086,164.874,3006.92,2.354,2.095,10.805,10.839,3474.812,8732.779,1214.389,-23.063,166.455,3728.91,9371.37,378.728,7.422,7.127
2481,49635,28.464,33.958,38.856,12.506,282.578,154.993,162.086,164.874,3045.727,2.354,2.095,10.805,10.839,3474.489,8733.195,1214.437,-23.063,163.48,3728.91,9371.37,378.728,7.422,7.127
2482,49655,28.479,33.961,38.859,12.494,282.551,153.758,162.086,164.874,3065.13,2.354,2.095,10.805,10.839,3474.489,8733.195,1214.437,-23.063,163.48,3728.563,9371.816,378.728,7.422,7.127
2483,49674,28.479,33.962,38.859,12.494,282.551,153.758,162.086,164.874,3074.832,2.354,2.095,10.805,10.839,3474.489,8733.195,1214.437,-23.063,163.48,3728.563,9371.816,378.728,7.422,7.127
2484,49695,28.479,33.963,38.859,12.494,282.551,153.758,162.086,164.874,3079.683,2.354,2.095,10.805,10.839,3474.489,8733.195,1214.437,-23.063,163.48,3728.563,9371.816,378.728,7.422,7.127
2485,49714,28.479,33.963,38.859,12.494,282.551,153.758,163.941,166.96,3051.807,2.352,2.095,10.805,10.882,3474.489,8733.195,1214.437,-23.063,163.48,3728.563,9371.816,378.728,7.572,7.097
2486,49735,28.479,33.963,38.859,12.494,282.551,153.758,163.941,166.96,3037.87,2.352,2.095,10.805,10.882,3473.468,8732.646,1214.446,-23.063,165.451,3728.563,9371.816,378.753,7.572,7.097
2487,49755,28.487,33.963,38.897,12.488,282.491,152.574,163.941,166.96,3030.901,2.352,2.095,10.805,10.882,3473.468,8732.646,1214.446,-23.063,165.451,3727.467,9371.228,378.765,7.572,7.097
2488,49772,28.487,33.963,38.897,12.488,282.491,152.574,163.941,166.96,3027.416,2.352,2.095,10.805,10.882,3473.468,8732.646,1214.446,-23.063,165.451,3727.467,9371.228,378.772,7.572,7.097
2489,49795,28.487,33.963,38.897,12.488,282.491,152.574,163.941,166.96,3025.674,2.352,2.095,10.805,10.882,3473.468,8732.646,1214.446,-23.063,165.451,3727.467,9371.228,378.775,7.572,7.097
2490,49815,28.487,33.963,38.897,12.488,282.491,152.574,163.632,165.029,3005.633,2.35,2.098,10.808,10.835,3473.468,8732.646,1214.446,-23.063,165.451,3727.467,9371.228,378.776,7.436,7.049
2491,49835,28.487,33.963,38.897,12.488,282.491,152.574,163.632,165.029,2995.612,2.35,2.098,10.808,10.835,3475.427,8732.936,1214.448,-23.057,164.33,3727.467,9371.228,378.785,7.436,7.049
2492,49853,28.537,33.963,38.915,12.497,282.443,152.168,163.632,165.029,2990.602,2.35,2.098,10.808,10.835,3475.427,8732.936,1214.448,-23.054,164.33,3729.527,9371.429,378.79,7.436,7.049
2493,49873,28.537,33.963,38.915,12.497,282.443,152.168,163.632,165.029,2988.097,2.35,2.098,10.808,10.835,3475.427,8732.936,1214.448,-23.053,164.33,3729.505,9371.374,378.792,7.436,7.049
2494,49894,28.537,33.963,38.915,12.497,282.443,152.168,163.632,165.029,2986.844,2.35,2.098,10.808,10.835,3475.427,8732.936,1214.448,-23.052,164.33,3729.494,9371.347,378.794,7.436,7.049
2495,49915,28.537,33.963,38.915,12.497,282.443,152.168,163.632,165.029,2986.218,2.35,2.098,10.808,10.835,3475.427,8732.936,1214.448,-23.052,164.33,3729.489,9371.333,378.794,7.436,7.049
2496,49935,28.537,33.973,38.915,12.497,282.443,152.168,166.26,165.106,2996.974,2.35,2.105,10.805,10.839,3475.427,8732.936,1214.448,-23.051,164.33,3729.486,9371.325,378.795,7.659,7.019
2497,49955,28.563,33.977,38.924,12.501,282.446,152.539,166.26,165.106,3002.352,2.35,2.105,10.805,10.839,3471.907,8732.806,1214.479,-23.04,165.683,3729.484,9371.322,378.845,7.659,7.019
2498,49972,28.563,33.98,38.924,12.501,282.446,152.539,166.26,165.106,3005.041,2.35,2.105,10.805,10.839,3471.907,8732.806,1214.479,-23.034,165.683,3725.62,9370.963,378.87,7.659,7.019
2499,49995,28.563,33.981,38.924,12.501,282.446,152.539,166.26,165.106,3006.385,2.35,2.105,10.805,10.839,3471.907,8732.806,1214.479,-23.031,165.683,3725.576,9370.854,378.883,7.659,7.019
2500,50015,28.563,33.997,38.924,12.501,282.446,152.539,163.941,167.192,3004.584,2.352,2.103,10.811,10.839,3471.907,8732.806,1214.479,-23.029,165.683,3725.554,9370.799,378.889,7.709,6.991
2501,50035,28.563,34.005,38.924,12.501,282.446,152.539,163.941,167.192,3003.683,2.352,2.103,10.811,10.839,3475.884,8733.43,1214.525,-23.029,165.566,3725.544,9370.771,378.892,7.709,6.991
2502,50054,28.576,34.009,38.941,12.504,282.439,153.17,163.941,167.192,3003.233,2.352,2.103,10.811,10.839,3475.884,8733.43,1214.525,-23.028,165.566,3729.805,9371.427,378.894,7.709,6.991
2503,50073,28.576,34.012,38.941,12.504,282.439,153.17,163.941,167.192,3003.008,2.352,2.103,10.811,10.839,3475.884,8733.43,1214.525,-23.028,165.566,3729.803,9371.421,378.894,7.709,6.991
2504,50094,28.576,34.013,38.941,12.504,282.439,153.17,163.941,167.192,3002.895,2.352,2.103,10.811,10.839,3475.884,8733.43,1214.525,-23.028,165.566,3729.802,9371.417,378.895,7.709,6.991
2505,50115,28.576,34.013,38.941,12.504,282.439,153.17,163.941,167.192,3002.839,2.352,2.103,10.811,10.839,3475.884,8733.43,1214.525,-23.028,165.566,3729.801,9371.415,378.895,7.709,6.991
2506,50135,28.576,34.026,38.941,12.504,282.439,153.17,162.781,169.587,2976.529,2.359,2.103,10.805,10.835,3475.884,8733.43,1214.525,-23.028,165.566,3729.8,9371.414,378.895,7.597,6.944
2507,50153,28.605,34.032,38.949,12.493,282.454,153.337,162.781,169.587,2963.375,2.359,2.103,10.805,10.835,3470.942,8733.338,1214.587,-23.022,166.184,3729.8,9371.413,378.895,7.597,6.944
2508,50174,28.605,34.035,38.949,12.493,282.454,153.337,162.781,169.587,2956.797,2.359,2.103,10.805,10.835,3470.942,8733.338,1214.587,-23.019,166.184,3724.453,9371.206,378.895,7.597,6.944
2509,50192,28.605,34.037,38.949,12.493,282.454,153.337,162.781,169.587,2953.508,2.359,2.103,10.805,10.835,3470.942,8733.338,1214.587,-23.018,166.184,3724.432,9371.151,378.895,7.597,6.944
2510,50215,28.605,34.038,38.949,12.493,282.454,153.337,162.781,169.587,2951.864,2.359,2.103,10.805,10.835,3470.942,8733.338,1214.587,-23.017,166.184,3724.421,9371.124,378.895,7.597,6.944
2511,50235,28.605,34.054,38.949,12.493,282.454,153.337,163.477,167.887,2937.128,2.366,2.11,10.805,10.832,3470.942,8733.338,1214.587,-23.017,166.184,3724.415,9371.11,378.895,7.728,6.994
2512,50255,28.62,34.062,38.953,12.488,282.461,152.939,163.477,167.887,2929.76,2.366,2.11,10.805,10.832,3475.117,8732.948,1214.621,-23.011,165.682,3724.413,9371.104,378.895,7.728,6.994
2513,50274,28.62,34.066,38.953,12.488,282.461,152.939,163.477,167.887,2926.076,2.366,2.11,10.805,10.832,3475.117,8732.948,1214.621,-23.008,165.682,3728.849,9370.574,378.895,7.728,6.994
2514,50294,28.62,34.068,38.953,12.488,282.461,152.939,163.477,167.887,2924.234,2.366,2.11,10.805,10.832,3475.117,8732.948,1214.621,-23.006,165.682,3728.826,9370.518,378.895,7.728,6.994
2515,50314,28.62,34.069,38.953,12.488,282.461,152.939,163.477,167.887,2923.313,2.366,2.11,10.805,10.832,3475.117,8732.948,1214.621,-23.005,165.682,3728.815,9370.489,378.895,7.728,6.994
2516,50335,28.62,34.079,38.953,12.488,282.461,152.939,164.405,165.415,2968.613,2.364,2.112,10.808,10.848,3475.117,8732.948,1214.621,-23.005,165.682,3728.809,9370.475,378.895,7.575,7.127
2517,50355,28.628,34.084,38.967,12.485,282.493,152.359,164.405,165.415,2991.264,2.364,2.112,10.808,10.848,3472.832,8732.659,1214.598,-23.005,164.91,3728.807,9370.469,378.912,7.575,7.127
2518,50374,28.628,34.086,38.967,12.485,282.493,152.359,164.405,165.415,3002.589,2.364,2.112,10.808,10.848,3472.832,8732.659,1214.598,-23.005,164.91,3726.353,9370.154,378.921,7.575,7.127
2519,50394,28.628,34.088,38.967,12.485,282.493,152.359,164.405,165.415,3008.251,2.364,2.112,10.808,10.848,3472.832,8732.659,1214.598,-23.005,164.91,3726.352,9370.152,378.925,7.575,7.127
2520,50412,28.628,34.088,38.967,12.485,282.493,152.359,164.405,165.415,3011.083,2.364,2.112,10.808,10.848,3472.832,8732.659,1214.598,-23.005,164.91,3726.352,9370.151,378.927,7.575,7.127
2521,50435,28.628,34.104,38.967,12.485,282.493,152.359,165.796,164.024,3057.826,2.359,2.114,10.802,10.894,3472.832,8732.659,1214.598,-23.005,164.91,3726.352,9370.151,378.928,7.656,7.125
2522,50455,28.667,34.112,38.974,12.484,282.536,152.487,165.796,164.024,3081.198,2.359,2.114,10.802,10.894,3472.681,8732.247,1214.54,-22.993,164.91,3726.352,9370.151,378.912,7.656,7.125
2523,50474,28.667,34.116,38.974,12.484,282.536,152.487,165.796,164.024,3092.884,2.359,2.114,10.802,10.894,3472.681,8732.247,1214.54,-22.987,164.91,3726.103,9369.49,378.903,7.656,7.125
2524,50493,28.667,34.118,38.974,12.484,282.536,152.487,165.796,164.024,3098.727,2.359,2.114,10.802,10.894,3472.681,8732.247,1214.54,-22.984,164.91,3726.059,9369.381,378.9,7.656,7.125
2525,50512,28.667,34.119,38.974,12.484,282.536,152.487,165.796,164.024,3101.648,2.359,2.114,10.802,10.894,3472.681,8732.247,1214.54,-22.983,164.91,3726.038,9369.327,378.897,7.656,7.125
2526,50535,28.686,34.139,38.978,12.483,282.577,153.422,165.1,168.042,3022.718,2.364,2.11,10.805,10.86,3472.681,8732.247,1214.54,-22.982,164.91,3726.027,9369.3,378.896,7.709,7.125
2527,50555,28.686,34.148,38.978,12.483,282.577,153.422,165.1,168.042,2983.253,2.364,2.11,10.805,10.86,3472.871,8731.572,1214.49,-22.982,166.571,3726.022,9369.286,378.888,7.709,7.125
2528,50575,28.686,34.153,38.978,12.483,282.577,153.422,165.1,168.042,2963.521,2.364,2.11,10.805,10.86,3472.871,8731.572,1214.49,-22.982,166.571,3726.224,9368.556,378.883,7.709,7.125
2529,50594,28.686,34.156,38.978,12.483,282.577,153.422,165.1,168.042,2953.655,2.364,2.11,10.805,10.86,3472.871,8731.572,1214.49,-22.982,166.571,3726.222,9368.552,378.881,7.709,7.125
2530,50614,28.686,34.157,38.978,12.483,282.577,153.422,165.1,168.042,2948.722,2.364,2.11,10.805,10.86,3472.871,8731.572,1214.49,-22.981,166.571,3726.221,9368.55,378.88,7.709,7.125
2531,50635,28.696,34.164,39.003,12.483,282.606,154.548,165.332,164.488,2934.629,2.369,2.11,10.808,10.839,3472.871,8731.572,1214.49,-22.981,166.571,3726.221,9368.55,378.879,7.603,7.072
2532,50654,28.696,34.167,39.003,12.483,282.606,154.548,165.332,164.488,2927.583,2.369,2.11,10.808,10.839,3471.611,8731.088,1214.462,-22.981,164.91,3726.221,9368.549,378.879,7.603,7.072
2533,50674,28.696,34.169,39.003,12.483,282.606,154.548,165.332,164.488,2924.06,2.369,2.11,10.808,10.839,3471.611,8731.088,1214.462,-22.981,164.91,3724.868,9368.029,378.879,7.603,7.072
2534,50692,28.696,34.17,39.003,12.483,282.606,154.548,165.332,164.488,2922.298,2.369,2.11,10.808,10.839,3471.611,8731.088,1214.462,-22.981,164.91,3724.868,9368.029,378.879,7.603,7.072
2535,50715,28.696,34.17,39.003,12.483,282.606,154.548,165.332,164.488,2921.417,2.369,2.11,10.808,10.839,3471.611,8731.088,1214.462,-22.981,164.91,3724.868,9368.029,378.879,7.603,7.072
2536,50735,28.736,34.177,39.016,12.471,282.639,155.231,164.559,167.887,2939.343,2.373,2.114,10.808,10.857,3471.611,8731.088,1214.462,-22.981,164.91,3724.868,9368.029,378.879,7.684,6.888
2537,50755,28.736,34.18,39.016,12.471,282.639,155.231,164.559,167.887,2948.306,2.373,2.114,10.808,10.857,3471.543,8731.117,1214.422,-22.981,166.223,3724.868,9368.029,378.879,7.684,6.888
2538,50774,28.736,34.181,39.016,12.471,282.639,155.231,164.559,167.887,2952.788,2.373,2.114,10.808,10.857,3471.543,8731.117,1214.422,-22.981,166.223,3724.796,9368.061,378.879,7.684,6.888
2539,50792,28.736,34.182,39.016,12.471,282.639,155.231,164.559,167.887,2955.028,2.373,2.114,10.808,10.857,3471.543,8731.117,1214.422,-22.981,166.223,3724.796,9368.061,378.879,7.684,6.888
2540,50814,28.736,34.183,39.016,12.471,282.639,155.231,164.559,167.887,2956.149,2.373,2.114,10.808,10.857,3471.543,8731.117,1214.422,-22.981,166.223,3724.796,9368.061,378.879,7.684,6.888
2541,50835,28.756,34.189,39.022,12.465,282.637,155.592,165.95,167.733,2964.006,2.378,2.117,10.808,10.903,3471.543,8731.117,1214.422,-22.981,166.223,3724.796,9368.061,378.879,7.55,6.941
2542,50854,28.756,34.192,39.022,12.465,282.637,155.592,165.95,167.733,2967.935,2.378,2.117,10.808,10.903,3470.824,8730.105,1214.369,-22.981,166.842,3724.796,9368.061,378.879,7.55,6.941
2543,50874,28.756,34.194,39.022,12.465,282.637,155.592,165.95,167.733,2969.899,2.378,2.117,10.808,10.903,3470.824,8730.105,1214.369,-22.981,166.842,3724.024,9366.975,378.879,7.55,6.941
2544,50894,28.756,34.195,39.022,12.465,282.637,155.592,165.95,167.733,2970.881,2.378,2.117,10.808,10.903,3470.824,8730.105,1214.369,-22.981,166.842,3724.024,9366.975,378.879,7.55,6.941
2545,50914,28.756,34.195,39.022,12.465,282.637,155.592,165.95,167.733,2971.372,2.378,2.117,10.808,10.903,3470.824,8730.105,1214.369,-22.981,166.842,3724.024,9366.975,378.879,7.55,6.941
2546,50934,28.756,34.195,39.022,12.465,282.637,155.592,165.95,167.733,2971.618,2.378,2.117,10.808,10.903,3470.824,8730.105,1214.369,-22.981,166.842,3724.024,9366.975,378.879,7.55,6.941
2547,50955,28.766,34.189,39.025,12.462,282.618,155.892,165.873,166.188,2965.618,2.376,2.119,10.808,10.907,3470.824,8730.105,1214.369,-22.981,166.842,3724.024,9366.975,378.879,7.578,6.891
2548,50975,28.766,34.186,39.025,12.462,282.618,155.892,165.873,166.188,2962.619,2.376,2.119,10.808,10.907,3470.035,8730.209,1214.297,-22.976,166.03,3724.024,9366.975,378.853,7.578,6.891
2549,50992,28.766,34.185,39.025,12.462,282.618,155.892,165.873,166.188,2961.119,2.376,2.119,10.808,10.907,3470.035,8730.209,1214.297,-22.973,166.03,3723.134,9366.977,378.841,7.578,6.891
2550,51014,28.766,34.184,39.025,12.462,282.618,155.892,165.873,166.188,2960.369,2.376,2.119,10.808,10.907,3470.035,8730.209,1214.297,-22.971,166.03,3723.113,9366.923,378.835,7.578,6.891
2551,51035,28.771,34.193,39.027,12.472,282.608,156.07,163.941,168.196,2937.485,2.378,2.119,10.805,10.907,3470.035,8730.209,1214.297,-22.971,166.03,3723.102,9366.896,378.831,7.631,7.013
2552,51054,28.771,34.197,39.027,12.472,282.608,156.07,163.941,168.196,2926.042,2.378,2.119,10.805,10.907,3470.123,8729.725,1214.279,-22.97,166.069,3723.096,9366.881,378.83,7.631,7.013
2553,51073,28.771,34.2,39.027,12.472,282.608,156.07,163.941,168.196,2920.321,2.378,2.119,10.805,10.907,3470.123,8729.725,1214.279,-22.97,166.069,3723.188,9366.355,378.829,7.631,7.013
2554,51093,28.771,34.201,39.027,12.472,282.608,156.07,163.941,168.196,2917.461,2.378,2.119,10.805,10.907,3470.123,8729.725,1214.279,-22.97,166.069,3723.186,9366.352,378.829,7.631,7.013
2555,51113,28.771,34.201,39.027,12.472,282.608,156.07,163.941,168.196,2916.03,2.378,2.119,10.805,10.907,3470.123,8729.725,1214.279,-22.97,166.069,3723.186,9366.35,378.828,7.631,7.013
